bvid,cid,title
BV1uy4y1i7vD,266271487,1991年华语乐坛“恐怖”到什么地步？首首经典，100%都听过！
BV1Z4411y73X,115908192,1992年华语乐坛经典回顾：群雄争霸，真的让人很怀念那个年代啊！
BV1bJ411N7qY,116363320,1993年华语乐坛有多“疯狂”：首首都是经典，全程神仙打架！
BV1oJ411A7eQ,117672811,1994年华语乐坛：首首都是经典，几代人的共同记忆
BV1oJ411c7Du,117850448,1995年华语乐坛有多“疯狂”：首首都是经典，几代人的回忆杀！
BV1cJ41137RB,118192315,1996年华语乐坛令人神往：神曲大爆发，好听到“发疯”！
BV1PJ411G7eV,118543819,【神仙打架】回顾1997年华语乐坛，首首都是神曲！
BV1zJ411g7xQ,119015647,【神仙打架】回顾1998华语乐坛巅峰之路，经典扎堆的年代！
BV1dJ411M7RV,119348970,【神仙打架】回顾1999年华语乐坛巅峰之曲，至今依然是KTV金曲！
BV17J411T7wJ,119696605,【神仙打架】回顾2000年华语乐坛“疯狂”之路，全程都能跟着哼唱！
BV1yE411X7yv,120518242,2001年华语乐坛真的开始“井喷”：诸神混战，开始启动！
BV1cE411D7VE,121428542,【神仙打架】2002年华语乐坛有多“疯狂”：全都听过，首首都会哼！
BV1ME411f7E2,122299432,2003华语乐坛简直太“恐怖”：神曲比比皆是，全年神仙打架！
BV1Fx411d7Ku,99416901,2004年的华语乐坛，那才是真正的神仙打架！听起来就热泪盈眶
BV1GE411y7kE,123965598,2005年华语乐坛有多“疯狂”：首首都是神曲，全程神仙打架！
BV1SE41167qy,124631241,2006年华语乐坛“恐怖”到什么地步？当年首首传遍大街，至今仍在播放！
BV1hE411y7Gi,125160383,2007年华语乐坛“疯狂”到什么地步？首首神曲，横扫大街！
BV12E411a7zS,125738278,2008年华语乐坛巅峰时刻：这是最后的“疯狂”？不存在的
BV1tE411h7ax,126184284,2009年华语乐坛开始“拉稀”？不，是最后一波的疯狂！
BV1rE41187i8,126898479,2010年华语乐坛还会“恐怖”吗？当年校园广播站循环播放，全程回忆
BV1PE411B7jm,127570963,2011年华语乐：天王天后齐聚，能否和巅峰期刚一波？
BV1gE411q7vt,128100576,2012年华语乐坛：应该是最近的辉煌年了吧？那时候还没有所谓的“流量”！
BV1AE411e72m,128901693,2013年华语乐坛
BV11J411S7uK,129295049,2014年华语乐坛
BV1JJ411U7g6,129662612,2015年华语乐坛
BV1pJ411d7V4,131101419,2016华语乐坛
BV1AJ41197Bh,132131599,2017年华语乐坛
BV1CJ411876R,139096242,2018华语乐坛
BV1g64y1f7g7,265060225,2019年华语乐坛年终回顾：
BV1Li4y1X72s,473747783,2020年华语乐坛年终回顾：
BV11h411Z7hz,267785786,2021年华语乐坛真的太“恐怖”了？真的是“冰火两重天”！
